Food Name,Glycemic Index,Calories,Carbohydrates,Protein,Fat,Suitable for Diabetes,Suitable for Blood Pressure,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
Kabsa,50,200,17.9,5.0,11.4,1,1,480,380,36,80,5.0
Tomato,37,18,5.8,3.3,0.2,1,1,3,237,14,2,2.1
Tandoori Chicken,0,290,5.0,29.0,15.0,1,1,540,281,33,40,1.0
Mushroom Soup,10,200,15.0,29.17,9.9,1,1,690,400,30,28,1.0
Vegetable Pulao,65,280,50.0,5.0,8.0,1,1,520,190,25,40,3.0
Asparagus,15,20,3.7,2.2,0.2,1,1,2,202,14,10,2.0
Brown Lentils,32,352,60.0,24.0,1.1,1,1,3,731,47,56,10.7
Cabbage Soup,10,157,10.0,2.0,12.0,1,1,360,250,20,35,4.0
Chicken Biryani,50,400,45.0,20.0,15.0,1,1,820,479,30,49,2.0
Kabsa,0,0,0.0,4.18,61.41,1,1,1,60,14,28,0.0
Brown Rice,68,50,13.0,0.6,0.16,1,1,1,112,12,13,1.0
Brown Bread,89,260,35.0,3.0,12.0,1,0,30,29,15,60,0.0
Lentils,29,164,25.0,8.9,2.6,1,1,2,485,30,28,7.9
Brown Rice,68,216,39.9,5.0,4.0,1,1,73,154,20,45,1.0
Lean Beef,0,250,0.0,26.0,17.0,1,1,53,380,20,12,0.0
Kibbeh,10,41,9.0,3.9,0.3,1,1,699,233,60,7,0.9
Brown Rice,15,25,5.3,2.0,0.3,1,1,30,320,15,15,2.0
Zucchini Noodles,15,33,7.1,1.8,0.3,1,1,2,209,25,36,3.4
Shahi Paneer,15,55,11.2,2.5,0.6,1,1,3,452,29,14,4.1
Kadai Paneer,14,193,4.1,14.0,23.8,1,1,418,310,29,330,0.5
Avocado,15,160,9.0,2.0,15.0,1,1,7,485,29,14,7.0
Greek Yogurt,11,59,3.6,10.0,0.4,1,1,36,141,12,118,0.0
Kidney Beans,53,61,14.7,0.3,0.2,1,1,1,77,9,6,1.0
Kheer,85,79,18.0,0.5,0.1,1,0,78,20,9,13,2.0
Spinach,15,23,3.6,2.9,0.4,1,1,79,558,79,99,2.2
Quinoa Pasta,71,41,9.6,0.9,0.2,1,1,69,320,12,33,2.8
Rajasthani Dal,45,230,40.0,10.0,6.0,1,1,550,877,40,80,7.0
Flaxseeds,0,258,0.0,25.0,17.0,1,1,57,299,23,14,0.0
Blueberries,59,69,18.0,0.72,0.16,1,1,2,191,8,11,0.9
Almond Milk,24,39,1.5,1.0,3.0,1,1,72,170,9,113,0.5
Chia Seeds,0,106,4.5,14.0,2.0,1,1,8,433,59,9,2.8
Grilled Chicken,40,220,25.0,8.0,8.0,1,1,360,220,20,80,4.1
Quinoa,53,120,21.3,4.4,1.9,1,1,5,172,64,17,2.8
Kidney Beans,53,61,14.7,0.3,0.2,1,1,0,116,5,6,1.6
Brown Bread,89,320,40.0,6.0,15.0,1,0,199,100,20,81,2.0
Spinach,28,164,20.0,17.9,16.0,1,1,7,420,30,13,7.0
Cauliflower,15,25,5.3,2.0,0.3,1,1,30,320,15,22,2.0
Masoor Dal,24,39,1.5,1.0,3.0,1,1,72,170,9,113,0.5
Chicken Curry,0,165,0.0,7.24,3.6,1,1,74,334,35,150,0.0
Sweet Potato,70,89,23.0,1.74,0.4,1,1,54,320,23,54,3.3
Asparagus,39,52,14.0,0.3,0.2,1,1,0,107,5,6,2.4
Walnuts,15,654,13.7,15.2,89.07,1,1,2,441,157,98,6.7
Palak Paneer,0,485,28.9,18.3,49.26,1,1,30,400,392,255,0.0
Orange,40,61,15.4,1.2,0.2,1,1,0,181,14,42,3.1
Zucchini,0,206,8.0,24.0,11.0,1,1,63,410,59,14,0.0
Oats,55,389,65.9,12.0,6.9,1,1,2,729,36,54,27.6
Chicken Curry,0,165,0.0,9.3,3.6,1,1,74,334,35,11,0.0
Rajasthani Dal,0,23,0.0,2.9,2.7,1,1,79,104,79,13,0.0
Almonds,0,206,0.0,14.29,13.0,1,1,73,354,32,11,0.0
Chole Bhature,50,400,55.0,16.9,18.0,1,1,719,429,35,57,3.0
Sweet Potato,70,238,19.7,10.0,14.0,1,0,580,320,36,199,3.0
Cottage Cheese,10,98,2.6,11.1,4.3,1,1,364,104,7,124,0.0
Spinach,0,23,3.6,2.9,0.4,1,1,79,167,20,3,0.0
Lamb Kabsa,50,479,50.0,28.0,22.0,1,1,893,400,30,80,3.0
Mujadara,24,180,20.0,4.0,10.0,1,1,400,110,15,118,0.0
Almonds,0,250,0.0,9.3,17.0,1,1,73,485,22,11,0.0
Kheer,65,180,30.0,5.0,2.0,1,1,119,105,37,20,4.2
Pork Tenderloin,0,143,0.0,30.0,3.0,1,1,50,437,35,9,0.0
Cucumber,15,16,3.6,0.7,0.1,1,1,2,147,10,16,0.5
Kale,15,49,8.8,4.3,0.9,1,1,38,330,79,99,3.6
Orange,40,61,15.4,1.2,0.2,1,1,0,237,14,52,3.1
Blueberries,59,69,18.0,0.7,0.2,1,1,2,191,8,11,0.9
Cottage Cheese,10,98,2.6,11.1,4.3,1,1,364,104,10,83,0.0
Seaweed,35,36,10.0,0.9,0.6,1,1,600,300,17,15,2.8
Lemon Rice,40,450,40.0,20.0,18.0,1,1,650,550,30,119,3.0
Baingan Bharta,24,559,30.2,18.2,43.9,1,1,12,668,292,36,10.2
Asparagus,39,52,14.0,0.3,0.2,1,1,0,107,9,6,2.4
Lettuce,0,5,0.0,0.5,61.41,1,1,28,194,4,18,0.0
Blueberries,53,57,14.0,0.7,0.3,1,1,1,77,9,6,2.4
Lamb Kabsa,50,320,15.0,5.43,22.0,1,0,199,100,15,44,1.0
Gobi Manchurian,65,318,59.7,8.0,7.4,1,1,449,230,25,49,4.2
Kale,15,49,8.8,4.3,0.9,1,1,23,330,33,150,3.6
Chicken 65,85,39,10.0,0.7,0.2,1,1,2,68,6,42,2.3
Cucumber,15,16,3.6,0.6,0.1,1,1,2,202,12,18,0.5
Butter Chicken,0,350,12.0,25.0,49.1,1,1,820,380,25,60,2.0
Lassi,30,120,21.7,4.0,13.5,1,1,50,50,14,13,3.1
Butter Chicken,0,359,12.0,24.0,43.3,1,1,820,380,40,100,2.0
Gobi Manchurian,55,230,49.9,9.4,1.8,1,1,312,154,29,28,2.0
Cucumber,15,16,3.6,0.7,0.1,1,1,2,202,12,16,0.5
Laban,4,89,12.0,3.0,0.8,1,1,179,220,10,119,0.0
Paneer Butter Masala,65,315,45.0,7.0,9.0,1,1,591,320,44,60,2.0
Cottage Cheese,10,98,3.4,11.1,4.3,1,1,364,91,9,124,0.0
Brown Rice,68,50,13.0,0.6,0.16,1,1,1,112,12,13,1.0
Shahi Tukda,65,300,52.0,8.0,10.0,1,1,580,320,30,40,4.0
Vegetable Biryani,25,320,25.0,8.0,16.0,1,1,460,300,32,100,2.0
Baingan Bharta,24,54,15.0,3.3,0.4,1,1,43,180,31,21,6.0
Cauliflower,15,25,5.0,2.0,0.3,1,1,30,320,15,22,2.0
Bhindi Masala,20,400,35.0,15.0,22.0,1,1,893,420,32,390,0.0
Broccoli,10,55,11.2,4.4,0.6,1,1,33,491,21,48,6.7
Turkey Breast,0,98,0.0,22.0,1.0,1,1,47,290,22,10,0.0
Berries (mixed),40,43,9.6,0.9,0.1,1,1,0,181,10,10,2.8
Chicken Shawarma,0,280,5.0,29.0,15.0,1,1,620,281,30,49,1.0
Greek Yogurt,11,59,3.6,10.0,0.4,1,1,38,141,12,80,0.0
Pakora,37,73,15.4,2.6,0.6,1,1,840,520,17,169,3.1
Chicken Korma,0,270,5.0,29.0,15.0,1,1,620,281,25,67,1.0
Pears,65,300,59.7,8.0,7.0,1,1,580,142,25,40,2.0
Quinoa,53,120,21.3,4.4,1.9,1,1,7,172,64,17,2.8
Chicken Curry,0,206,10.0,25.0,16.0,1,1,580,380,30,28,2.0
Chicken 65,0,290,15.0,9.0,21.0,1,1,540,450,29,390,2.0
Rasgulla,93,186,40.9,3.0,17.0,1,0,30,29,2,81,0.0
Kabsa,50,380,30.0,6.0,16.0,1,1,199,318,10,169,4.0
Oats,55,153,35.0,2.0,5.0,1,1,2,191,64,14,4.0
Tandoori Chicken,0,220,3.0,30.0,10.0,1,1,480,340,59,20,1.0
Arayes,15,31,6.3,2.4,0.3,1,1,1,358,60,16,1.1
Onions,10,40,6.6,1.1,3.0,1,1,4,211,12,23,3.4
Masoor Dal,30,180,20.0,10.0,16.0,1,1,480,250,17,100,0.0
Bhindi Masala,20,280,12.0,7.69,18.55,1,1,380,524,28,100,2.2
Upma,70,239,19.7,13.3,11.4,1,0,580,877,51,199,10.2
Pani Puri,89,320,40.0,8.0,12.0,1,0,560,460,40,49,4.0
Lamb Shawarma,40,450,40.0,20.0,18.0,1,1,650,550,30,119,6.0
Shakshuka,10,179,20.0,6.0,10.0,1,1,380,524,29,181,7.0
Kibbeh,30,79,15.4,2.0,68.59,1,1,12,50,8,27,3.1
Rasgulla,93,297,40.0,5.0,14.0,1,1,480,180,25,150,6.5
Pork Tenderloin,0,143,0.0,30.0,3.0,1,1,50,437,35,9,0.0
Flaxseeds,50,564,45.0,28.0,22.23,1,1,719,879,40,92,10.2
Lean Beef,0,250,0.0,26.0,17.0,1,1,54,391,22,11,0.0
Almonds,0,165,0.0,7.24,3.6,1,1,73,291,18,11,0.0
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,36,18,7.9
Chicken Biryani,50,400,45.0,28.0,15.0,1,1,721,320,30,49,2.0
Kidney Beans,53,61,14.7,0.3,0.3,1,1,0,77,5,6,1.6
Malai Kofta,85,180,20.0,3.0,53.28,1,0,30,29,15,60,1.0
Avocado,15,160,9.0,2.0,15.0,1,1,7,485,29,12,7.0
Green Tea,0,290,14.0,9.0,22.0,1,1,520,450,29,390,2.0
Cabbage Soup,15,157,4.6,7.9,12.4,1,1,255,263,21,235,1.1
Grilled Salmon,40,81,15.4,0.8,0.6,1,1,1,160,8,10,2.4
Bell Peppers,15,31,6.6,1.3,0.2,1,1,2,175,10,10,2.5
Tuna,0,116,0.0,26.0,0.8,1,1,35,346,22,9,0.0
Asparagus,39,52,14.0,1.1,0.2,1,1,5,77,9,52,2.4
Mushrooms,10,22,3.3,3.1,0.3,1,1,5,318,9,30,1.0
Cabbage,10,25,6.0,1.0,0.1,1,1,8,170,12,47,2.2
Pav,65,280,50.0,6.0,8.0,1,1,560,190,25,49,3.0
Brown Rice,68,216,39.9,3.0,17.0,1,0,73,29,2,180,0.0
Kabsa,20,280,8.0,15.0,18.55,1,1,569,420,30,670,3.0
Tandoori Chicken,0,290,5.0,25.0,18.0,1,1,780,400,30,60,1.0
Pakora,75,230,21.0,8.0,14.0,1,0,363,160,15,44,1.5
Turkey Chili,65,200,30.0,5.0,8.0,1,0,380,120,15,30,2.0
Rajma Masala,27,215,15.0,12.0,14.0,1,1,569,320,30,199,3.0
Vada Pav,65,318,52.0,8.0,14.0,1,1,590,240,30,49,2.0
Oranges,45,43,9.6,0.9,0.1,1,1,0,181,10,42,2.8
Tandoori Chicken,0,220,2.0,25.0,10.0,1,1,138,340,25,22,0.0
Rasam,24,180,20.0,2.0,10.0,1,1,360,250,20,25,3.0
Chicken Korma,0,270,4.0,29.0,18.0,1,1,540,58,22,35,1.0
Lettuce,0,616,21.6,21.2,87.4,1,1,820,550,40,263,3.0
Chicken Biryani,50,400,45.0,28.0,15.0,1,1,721,320,30,49,2.0
Brown Bread,89,180,25.0,4.0,6.0,1,0,418,172,20,20,2.4
Ginger,15,79,11.0,2.0,0.8,1,1,90,415,60,35,1.2
Labneh Manakish,4,280,45.0,10.0,6.0,1,1,167,150,30,80,4.0
Stir-Fried Tofu,55,150,26.3,2.7,88.25,1,1,439,140,17,27,2.0
Pani Puri,89,262,38.0,10.0,12.0,1,0,363,160,25,80,6.5
Broccoli,10,55,11.2,3.7,0.6,1,1,33,316,21,47,5.1
Coconut Oil,0,340,10.0,25.0,22.0,1,1,680,410,35,60,2.0
Tomato,37,57,15.0,2.6,0.2,1,1,122,320,35,33,3.3
Quinoa,53,368,65.7,17.0,6.0,1,1,5,429,144,54,10.6
Onions,10,40,9.0,3.9,0.9,1,1,4,491,29,150,3.6
Eggs,0,78,0.6,20.0,5.3,1,1,61,340,25,13,0.0
Egg Whites,0,52,0.0,2.9,0.4,1,1,94,63,6,0,0.0
Miso Soup,35,54,12.0,1.74,0.2,1,1,1,77,22,52,6.5
Quinoa Pasta,53,121,25.0,4.2,2.2,1,1,3,119,38,15,3.4
Steamed Broccoli,0,104,0.0,13.89,0.9,1,1,59,354,22,11,0.0
Shish Taouk,20,280,45.0,30.0,1.1,1,1,260,1042,47,234,10.7
Pongal,65,315,52.0,7.0,11.0,1,1,560,240,35,40,3.0
Avocado,0,160,8.5,18.45,14.7,1,1,7,628,79,19,6.7
Blueberries,59,69,18.0,0.7,0.16,1,1,2,191,8,11,0.9
Vegetable Biryani,25,320,25.0,8.0,16.0,1,1,460,300,35,14,2.0
Seaweed,35,36,10.0,0.9,0.6,1,1,600,479,17,15,3.1
Lean Beef,0,250,0.0,26.0,17.0,1,1,53,391,22,7,0.0
Apple,39,41,10.0,0.9,0.2,1,1,5,77,6,16,2.4
Asparagus,39,52,14.0,1.1,0.2,1,1,69,320,12,33,2.3
Cauliflower,15,25,5.3,2.0,0.3,1,1,30,299,15,22,2.0
Fish Curry,0,141,2.0,29.0,1.7,1,1,10,436,35,9,0.0
Aloo Tikki,50,180,35.0,4.0,2.0,1,1,380,200,20,15,2.0
Spinach,10,269,45.0,15.0,6.0,1,1,23,875,79,80,12.2
Quinoa Pasta,53,121,21.3,4.2,2.2,1,1,3,119,38,16,3.4
Shish Taouk,89,247,35.0,6.0,12.0,1,1,560,240,25,190,6.0
Quinoa,53,120,21.3,4.4,1.9,1,1,7,172,69,17,2.8
Lentils,32,352,63.4,24.8,1.0,1,1,2,747,36,45,10.7
Blueberries,53,57,14.0,0.7,0.3,1,1,1,77,9,6,2.4
Quinoa Pasta,53,121,21.3,4.2,2.2,1,1,3,119,38,16,3.4
Aloo Gobi,24,160,15.0,10.1,12.4,1,1,480,250,17,119,1.0
Zucchini Noodles,15,33,7.1,1.8,0.3,1,1,18,358,33,14,2.6
Eggplant Parmesan,50,380,30.0,5.0,22.0,1,1,199,204,15,119,2.0
Almonds,0,574,28.9,18.3,42.2,1,1,7,705,392,255,15.7
Stir-Fried Tofu,55,130,35.0,4.0,0.8,1,1,35,180,47,19,4.2
Medu Vada,70,150,14.0,3.0,2.0,1,1,370,167,15,15,2.0
Cucumber,15,16,3.6,0.6,0.1,1,1,2,76,7,16,0.5
Coconut Milk,40,562,45.0,25.0,49.08,1,1,800,550,40,150,3.0
Butter Chicken,0,359,10.0,28.0,43.0,1,1,700,328,40,60,2.0
Malai Kofta,24,126,20.0,11.0,8.0,1,1,3,729,28,28,6.0
Spinach,42,364,65.7,16.9,6.0,1,1,23,747,79,54,13.0
Peanuts,14,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Strawberries,40,29,7.0,0.7,0.3,1,1,1,153,12,16,2.0
Walnuts,15,654,13.7,15.2,89.07,1,1,2,441,32,98,3.3
Papdi Chaat,65,300,59.7,8.0,7.4,1,1,167,154,10,64,3.5
Spinach,42,364,65.7,14.38,2.3,1,1,23,311,177,54,7.0
Cabbage,15,25,6.0,1.0,0.2,1,1,2,170,12,9,2.5
Mansaf,65,318,59.7,7.0,7.4,1,1,590,130,25,40,2.0
Kheer,85,200,30.0,5.0,8.0,1,0,119,100,15,25,1.0
Peanuts,14,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Onions,10,40,6.6,3.9,3.0,1,1,4,358,36,150,6.5
Caprese Salad,49,300,45.0,10.0,6.0,1,1,167,204,15,59,0.0
Salmon,0,184,0.0,22.0,8.2,1,1,59,339,29,13,0.0
Watermelon,75,30,7.6,0.6,0.2,1,1,1,112,10,11,0.4
Asparagus,15,20,3.7,2.2,0.2,1,1,2,202,14,23,2.2
Samboosa,45,130,33.1,4.0,0.3,1,1,10,358,30,15,2.0
Eggs,85,160,25.0,4.0,8.0,1,0,470,110,5,60,2.0
Quinoa Pasta,53,121,21.3,4.2,2.2,1,1,3,119,38,15,3.4
Lassi,0,250,15.0,28.0,13.0,1,1,620,438,37,40,0.0
Chicken Salad,10,22,3.3,3.1,0.3,1,1,3,318,9,30,2.2
Steamed Vegetables,15,61,11.2,3.7,0.6,1,1,28,457,21,80,3.3
Pakora,45,441,6.6,3.3,22.0,1,1,313,250,15,20,0.5
Spinach,10,269,45.0,15.0,4.2,1,1,23,875,79,80,12.2
Kidney Beans,53,61,14.7,0.3,0.3,1,1,1,116,5,6,1.0
Baingan Bharta,15,124,9.0,4.0,1.7,1,1,117,410,35,150,6.5
Zucchini Noodles,15,33,6.3,1.3,0.3,1,1,2,175,12,9,2.5
Lentils,29,164,20.0,17.9,6.4,1,1,2,498,30,12,7.9
Mushrooms,35,36,5.8,2.0,0.6,1,1,600,192,33,15,0.9
Shahi Tukda,37,57,15.0,0.4,0.1,1,1,1,116,7,9,3.1
Avocado,0,160,0.0,28.0,14.7,1,1,7,376,25,15,0.0
Cottage Cheese,10,98,2.6,11.1,4.3,1,1,364,104,7,83,0.0
Almonds,0,648,21.6,21.2,87.4,1,1,1,705,269,263,15.7
Celery,15,6,1.2,0.3,0.1,1,1,5,45,6,40,0.5
Upma,70,247,19.7,10.0,16.0,1,1,531,450,40,80,3.0
Vegetable Biryani,50,340,55.0,8.0,14.0,1,1,246,204,23,150,4.1
Eggplant,15,239,5.0,14.0,18.2,1,1,380,262,20,100,1.0
Greek Salad,64,250,30.0,5.0,12.0,1,1,480,300,25,49,4.0
Quinoa,53,120,21.3,4.4,1.9,1,1,7,172,64,17,2.8
Spinach,28,116,20.0,9.0,0.4,1,1,23,369,33,33,7.0
Whole Wheat Pasta,37,124,25.7,4.5,0.3,1,1,1,237,51,150,2.1
Rajasthani Dal,75,441,40.0,25.0,18.55,1,0,780,400,30,89,8.0
Zucchini,0,616,21.7,21.2,87.4,1,1,1,705,268,263,15.7
Orange,40,61,16.0,1.2,0.2,1,1,0,237,14,42,3.1
Vegetable Soup,10,280,45.0,15.0,4.2,1,1,580,877,42,100,10.2
Shrimp,20,220,15.0,12.0,14.0,1,1,360,729,25,60,2.4
Spinach,28,364,61.6,21.0,6.0,1,1,23,747,79,36,28.1
Zucchini Noodles,15,17,3.1,1.2,0.2,1,1,2,261,12,16,0.5
Coconut Milk,40,180,25.0,6.0,8.0,1,1,229,174,15,181,1.0
Cottage Cheese,10,98,2.6,11.1,4.3,1,1,364,147,20,80,0.0
Lean Beef,0,250,0.0,26.0,17.0,1,1,54,380,20,12,0.0
Quorn,0,564,20.0,21.0,49.2,1,1,800,550,59,92,2.0
Chole Bhature,83,450,55.0,16.9,15.0,1,1,721,429,60,80,8.0
Walnuts,15,654,13.7,30.0,89.07,1,1,2,733,157,263,8.5
Asparagus,15,20,3.7,2.2,0.2,1,1,2,202,14,10,2.0
Celery,15,6,1.2,0.3,0.1,1,1,35,104,8,40,0.6
Oats,55,389,71.7,16.9,6.9,1,1,2,429,177,54,10.6
Tomato,37,73,15.0,0.4,0.2,1,1,840,520,17,15,1.6
Lamb,0,258,0.0,25.0,17.0,1,1,57,299,23,14,0.0
Tandoori Chicken,0,290,5.0,29.0,15.0,1,1,620,281,30,49,1.0
Pork Tenderloin,0,143,0.0,30.0,3.0,1,1,50,437,35,9,0.0
Turkey Breast,0,98,0.0,22.0,1.0,1,1,47,290,22,10,0.0
Quinoa Pasta,53,121,25.0,4.2,2.2,1,1,3,119,38,15,3.4
Spinach Salad,37,18,10.0,1.0,0.2,1,1,1,77,6,10,2.3
Quinoa,53,368,61.5,20.04,6.0,1,1,5,429,144,19,10.6
Avocado Oil,10,150,10.0,2.0,12.0,1,1,90,210,25,27,2.0
Cauliflower,15,25,5.3,1.9,0.3,1,1,30,299,15,22,2.0
Whole Wheat Bread,68,247,30.0,5.0,12.0,1,1,480,152,25,49,3.0
Avocado,10,160,8.5,2.0,15.0,1,1,7,485,29,14,6.7
Mujadara,45,220,25.0,8.0,14.0,1,1,520,450,40,80,4.0
Watermelon,71,30,7.6,0.6,0.2,1,1,1,112,10,8,0.4
Grilled Chicken,40,220,30.0,10.0,8.0,1,1,520,320,30,60,4.0
Puliyogare,55,200,35.0,10.0,4.0,1,1,480,729,61,70,8.0
Rajasthani Dal,45,441,45.0,20.0,18.55,1,1,780,390,35,60,3.0
Celery,15,6,1.2,0.3,0.1,1,1,5,194,8,40,0.5
Black Beans,30,227,44.3,15.2,0.9,1,1,1,610,119,28,12.3
Chicken Biryani,50,400,45.0,28.0,15.0,1,1,721,320,30,40,2.0
Chole Bhature,50,400,50.0,10.0,10.0,1,1,721,530,30,100,4.0
Dosa,50,120,21.3,2.6,1.0,1,1,78,320,32,33,3.0
Olive Oil,0,258,0.0,30.0,17.0,1,1,57,299,23,12,0.0
Harira Soup,40,220,25.0,5.0,2.6,1,1,74,401,36,13,9.0
Broccoli,10,55,11.2,3.7,0.6,1,1,33,316,21,48,3.3
Strawberries,40,32,7.7,0.7,0.3,1,1,1,153,12,16,2.0
Turkey Breast,0,189,0.0,27.0,8.2,1,1,64,339,29,13,0.0
Pork Tenderloin,0,143,0.0,30.0,3.0,1,1,50,437,35,9,0.0
Chicken Mandi,0,140,0.0,20.88,7.0,1,1,0,0,0,0,0.0
Bell Peppers,15,18,3.9,0.9,0.2,1,1,5,237,11,6,1.2
Olive Oil,0,119,0.0,27.95,13.6,1,1,0,299,35,9,0.0
Lettuce,10,5,1.0,0.5,83.71,1,1,5,60,4,13,0.5
Kheer,85,79,18.0,0.5,0.1,1,0,78,39,6,13,2.0
Pani Puri,89,247,48.0,9.4,2.5,1,1,711,350,29,100,4.0
Shish Taouk,50,184,40.9,4.0,6.0,1,1,470,280,22,180,4.0
Shrimp Stir-Fry,0,180,2.0,24.36,9.0,1,1,460,300,22,18,1.0
Cucumber,15,16,3.6,0.7,0.2,1,1,2,147,12,16,0.5
Quorn,0,119,4.5,14.0,2.0,1,1,8,433,59,9,2.8
Apple,95,186,40.9,3.0,10.0,1,1,246,167,20,104,2.0
Upma,65,320,52.0,7.0,9.0,1,1,591,130,33,40,2.0
Lassi,0,300,15.0,25.0,20.0,1,1,710,380,35,60,2.0
Flaxseeds,50,564,45.0,25.0,42.2,1,1,800,550,59,92,3.0
Chicken Curry,0,206,10.0,12.0,16.0,1,1,370,330,70,270,3.0
Egg Whites,50,180,10.0,21.4,9.9,1,1,580,438,30,28,0.0
Quinoa Pasta,40,41,10.0,0.9,0.2,1,1,69,320,12,33,2.8
Asparagus,39,52,14.0,1.1,0.2,1,1,69,320,12,33,3.0
Fattoush,30,250,20.0,15.0,16.0,1,1,480,350,25,330,3.0
Walnuts,0,49,9.0,4.3,0.9,1,1,38,491,33,150,3.6
Oats,55,389,66.0,12.0,6.9,1,1,2,729,227,54,27.0
Strawberries,40,29,7.0,0.7,0.3,Yes,1,1,153,12,16,2.0
Lamb,0,884,0.0,15.2,89.07,1,1,2,0,1,1,0.0
Za'atar Manakish,65,280,50.0,6.0,8.0,1,1,540,180,25,49,3.0
Zucchini,0,616,21.7,21.2,87.4,1,1,1,705,269,268,15.7
Turkey Breast,0,189,0.0,27.0,8.2,1,1,64,305,29,13,0.0
Olive Oil,0,106,0.0,27.95,1.0,Yes,1,35,290,23,4,0.0
Cabbage,10,25,5.8,1.3,0.1,1,1,8,170,12,47,2.2
Shawarma Wrap,50,184,40.9,4.0,8.0,1,1,470,280,20,20,3.0
Mutton Biryani,50,400,50.0,20.0,18.0,1,1,849,479,35,92,2.0
Whole Wheat Pasta,37,124,25.7,18.3,0.8,1,1,1,400,28,4,6.0
Orange,42,43,10.6,0.7,0.4,1,1,1,77,6,40,5.4
Spinach,10,269,45.0,15.0,6.0,1,1,23,875,79,80,12.2
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,36,18,7.9
Lamb Ouzi,40,250,30.0,12.0,12.0,1,1,480,250,20,80,6.0
Blueberries,53,57,14.0,0.7,0.3,1,1,1,77,6,6,2.4
Strawberries,40,29,7.0,0.7,0.3,Yes,1,1,153,12,16,2.0
Lentils,32,230,45.8,17.9,1.8,1,1,2,1042,119,12,27.6
Lentil Soup,35,54,3.2,2.0,3.0,1,1,1,237,22,36,0.6
Bhindi Masala,20,280,45.0,15.0,6.0,1,1,550,310,38,100,5.0
Mujadara,35,220,30.0,10.0,2.0,1,1,381,729,24,87,10.2
Watermelon,71,30,7.6,0.6,0.2,1,1,1,112,10,8,0.4
Salmon,0,206,0.0,22.0,13.4,1,1,63,628,27,12,0.0
Caprese Salad,49,280,30.0,18.45,14.0,1,1,620,879,44,108,7.0
Cabbage Soup,15,157,10.0,2.0,12.0,1,1,360,220,20,27,3.0
Walnuts,0,574,28.9,18.3,22.23,1,1,1,705,119,92,12.2
Rajma Chawal,25,559,45.0,18.2,42.2,1,1,30,879,335,36,13.0
Cucumber,15,16,3.6,0.7,0.1,1,1,2,202,12,16,0.5
Zucchini,0,206,10.0,25.0,16.0,1,1,63,380,59,19,0.0
Hummus,85,200,21.0,3.0,53.28,1,0,30,80,14,60,1.0
Chicken Salad,0,359,10.0,24.0,49.28,1,1,820,400,30,49,2.0
Mushrooms,10,22,3.3,3.1,0.3,1,1,5,318,9,30,1.0
Tuna Salad,0,180,2.0,24.36,8.0,1,1,380,239,20,18,0.4
Pani Puri,89,247,48.0,10.0,1.8,1,1,381,125,29,80,6.7
Celery,15,6,1.2,0.3,0.1,1,1,35,194,8,40,1.6
Turkey Breast,0,189,0.0,27.0,12.0,1,1,53,391,29,13,0.0
Mutton Curry,30,220,30.0,5.0,4.0,1,1,40,174,69,99,4.0
Lamb Kabsa,50,320,15.0,5.43,20.0,1,0,199,100,10,92,0.0
Celery,15,16,3.5,0.6,0.1,1,1,79,260,11,36,1.6
Samosa,89,260,26.0,5.0,12.0,1,0,370,214,35,30,2.0
Mujadara,35,180,30.0,4.0,4.0,1,1,380,180,22,80,4.0
Brown Rice,50,216,45.8,4.5,1.8,1,1,7,43,43,20,3.5
Tandoori Chicken,0,290,4.0,29.0,15.0,1,1,620,250,22,49,1.0
Mandi,55,40,8.0,26.08,0.2,1,1,122,29,2,5,0.0
Pani Puri,89,247,48.0,9.4,1.8,1,1,312,154,29,80,4.0
Barley,55,67,15.0,1.1,0.5,1,1,2,68,29,16,2.7
Pineapple,59,50,13.0,0.5,0.1,1,1,1,109,12,13,1.0
Tuna,0,116,0.0,26.0,0.9,1,1,35,346,22,4,0.0
Kale,15,49,8.8,4.3,0.9,1,1,38,330,79,99,2.0
Peanuts,12,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Watermelon,71,30,8.0,0.6,0.2,1,1,1,112,10,11,0.6
Chicken Biryani,50,380,45.0,18.0,12.0,1,1,800,220,40,40,2.0
Zucchini,0,250,10.0,15.0,18.0,1,1,73,610,22,11,8.0
Shrimp Stir-Fry,0,85,12.0,5.0,0.6,1,1,449,207,18,80,2.3
Chia Seed Oil,40,43,5.8,0.9,0.2,1,1,1,156,9,16,2.0
Mansaf,40,562,45.0,25.0,49.08,1,1,800,550,59,150,3.0
Apple,39,52,14.0,0.3,0.2,1,1,0,107,9,6,2.4
Orange,55,118,20.4,4.2,2.5,1,1,8,105,38,16,3.4
Cauliflower,15,25,5.3,2.0,0.3,1,1,30,320,15,22,2.0
Apple,39,41,10.0,0.9,0.2,1,1,5,77,6,10,2.3
Chia Seeds,0,285,10.0,26.0,16.0,1,1,710,299,35,60,3.0
Walnuts,15,654,13.7,30.0,89.07,1,1,2,705,32,263,8.5
Quorn,0,258,0.0,25.0,17.0,1,1,63,299,23,14,0.0
Kidney Beans,53,61,15.0,1.1,0.5,1,1,3,237,10,34,3.0
